2074100;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos - Não cortadas em pedaços, frescas ou refrigeradas
2074200;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos - Não cortadas em pedaços, congeladas
2074300;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos - Fígados gordos (foies gras), frescos ou refrigerados
2074400;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos - Outras, frescas ou refrigeradas
2074500;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De patos - Outras, congeladas
2075100;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De gansos - Não cortadas em pedaços, frescas ou refrigeradas
2075200;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De gansos - Não cortadas em pedaços, congeladas
2075300;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De gansos - Fígados gordos (foies gras), frescos ou refrigerados
2075400;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De gansos - Outras, frescas ou refrigeradas
2075500;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De gansos - Outras, congeladas
2076000;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05 - De galinhas-d’angola (pintadas)
2081000;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De coelhos ou de lebres
2083000;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De primatas
2084000;"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)"
2085000;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De répteis (incluindo as serpentes e as tartarugas marinhas)
2086000;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - De camelos e de outros camelídeos (Camelidae)
2089000;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas - Outras
2091011;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - De porco - Toucinho - Fresco, refrigerado ou congelado
2091019;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - De porco - Toucinho - Outros
2091021;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - De porco - Gordura - Fresca, refrigerada ou congelada
2091029;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - De porco - Gordura - Outras
2099000;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados - Outros
2101100;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie suína - Pernas, pás e respectivos pedaços, não desossados"
2101200;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie suína - Toucinhos entremeados e seus pedaços"
2101900;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie suína - Outras"
2102000;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Carnes da espécie bovina"
2109100;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas - De primatas"
2109200;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas - De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)"
2109300;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas - De répteis (incluindo as serpentes e as tartarugas marinhas)"
2109900;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas - Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas - Outras"
3011110;Peixes vivos - Peixes ornamentais - De água doce - Aruanã (Osteoglossum bicirrhosum)
3011190;Peixes vivos - Peixes ornamentais - De água doce - Outros
3011900;Peixes vivos - Peixes ornamentais - Outros
3019110;Peixes vivos - Outros peixes vivos - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) - Para reprodução
3019190;Peixes vivos - Outros peixes vivos - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) - Outras
3019210;Peixes vivos - Outros peixes vivos - Enguias (Anguilla spp.) - Para reprodução
3019290;Peixes vivos - Outros peixes vivos - Enguias (Anguilla spp.) - Outras
3019310;Peixes vivos - Outros peixes vivos - Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus) - Para reprodução
3019390;Peixes vivos - Outros peixes vivos - Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus) - Outras
3019410;Peixes vivos - Outros peixes vivos - Atuns azuis (Thunnus thynnus, Thunnus orientalis) - Para reprodução
3019490;Peixes vivos - Outros peixes vivos - Atuns azuis (Thunnus thynnus, Thunnus orientalis) - Outras
3019510;Peixes vivos - Outros peixes vivos - Atum azul do Sul (Thunnus maccoyii) - Para reprodução
3019590;Peixes vivos - Outros peixes vivos - Atum azul do Sul (Thunnus maccoyii) - Outros
3019911;"Peixes vivos - Outros peixes vivos - Outros - Para reprodução - Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
3019912;Peixes vivos - Outros peixes vivos - Outros - Para reprodução - Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
3019919;Peixes vivos - Outros peixes vivos - Outros - Para reprodução - Outros
3019991;"Peixes vivos - Outros peixes vivos - Outros - Outros - Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
3019992;Peixes vivos - Outros peixes vivos - Outros - Outros - Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
3019999;Peixes vivos - Outros peixes vivos - Outros - Outros - Outros
3021100;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto fígados, ovas e sêmen - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
3021300;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto fígados, ovas e sêmen - Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)
3021400;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto fígados, ovas e sêmen - Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)
3021900;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto fígados, ovas e sêmen - Outros
3022100;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen - Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)
3022200;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen - Solha (Pleuronectes platessa)
3022300;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen - Linguados (Solea spp.)
3022400;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen - Pregado (Psetta maxima)
3022900;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen - Outros
3023100;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Albacora-branca (Thunnus alalunga)
3023200;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Albacora-laje (Thunnus albacares)
3023300;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Bonito-listrado
3023400;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Albacora-bandolim (Thunnus obesus)
3023500;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Atuns azuis (Thunnus thynnus, Thunnus orientalis)
3023600;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Atum azul do Sul (Thunnus maccoyii)
3023900;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen - Outros
3024100;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Arenques (Clupea harengus, Clupea pallasii), anchovas (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus), chicharros (Trachurus spp.), bijupirá (Rachycentron canadum) e espadarte (Xiphias gladius), exceto fígados, ovas e sêmen - Arenques (Clupea harengus, Clupea pallasii)
3024210;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Arenques (Clupea harengus, Clupea pallasii), anchovas (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus), chicharros (Trachurus spp.), bijupirá (Rachycentron canadum) e espadarte (Xiphias gladius), exceto fígados, ovas e sêmen - Anchovas (Engraulis spp.) - Anchoita (Engraulis anchoita)
3024290;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Arenques (Clupea harengus, Clupea pallasii), anchovas (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus), chicharros (Trachurus spp.), bijupirá (Rachycentron canadum) e espadarte (Xiphias gladius), exceto fígados, ovas e sêmen - Anchovas (Engraulis spp.) - Outros
